year,Qa,ID,country
2007,141.0014521,JP_0000009,JP
2008,127.5934973,JP_0000009,JP
2009,191.005726,JP_0000009,JP
2010,240.9013425,JP_0000009,JP
2011,190.677863,JP_0000009,JP
2012,192.5810929,JP_0000009,JP
1962,318.8396712,JP_0000018,JP
1963,222.9211507,JP_0000018,JP
1964,166.7237158,JP_0000018,JP
1965,219.9353699,JP_0000018,JP
1966,369.6955068,JP_0000018,JP
1967,208.7013151,JP_0000018,JP
1968,136.5808743,JP_0000018,JP
1969,208.0920822,JP_0000018,JP
1970,219.9765753,JP_0000018,JP
1971,126.2513425,JP_0000018,JP
1972,185.2129508,JP_0000018,JP
1973,262.6818803,JP_0000018,JP
1974,289.6035616,JP_0000018,JP
1975,268.7285989,JP_0000018,JP
1976,190.2211047,JP_0000018,JP
1977,224.3843626,JP_0000018,JP
1978,141.9630685,JP_0000018,JP
1979,202.3178904,JP_0000018,JP
1980,211.6330328,JP_0000018,JP
1981,263.682137,JP_0000018,JP
1982,220.314411,JP_0000018,JP
1983,196.512137,JP_0000018,JP
1984,197.3030328,JP_0000018,JP
1985,215.9761918,JP_0000018,JP
1986,234.2165753,JP_0000018,JP
1987,229.5668508,JP_0000018,JP
1988,208.4190251,JP_0000018,JP
1989,210.8558807,JP_0000018,JP
1990,250.5674521,JP_0000018,JP
1991,230.3375342,JP_0000018,JP
1992,278.0205932,JP_0000018,JP
1993,211.5984384,JP_0000018,JP
1994,238.5732603,JP_0000018,JP
1995,209.9233699,JP_0000018,JP
1996,180.717623,JP_0000018,JP
1997,211.9620822,JP_0000018,JP
1998,178.3406197,JP_0000018,JP
1999,297.3010169,JP_0000018,JP
2000,255.0172678,JP_0000018,JP
2001,288.9610986,JP_0000018,JP
2002,259.5419452,JP_0000018,JP
2003,258.9664658,JP_0000018,JP
2004,290.68,JP_0000018,JP
2005,259.9116343,JP_0000018,JP
2006,281.6616209,JP_0000018,JP
2007,253.7844384,JP_0000018,JP
2008,267.168224,JP_0000018,JP
2009,347.8411781,JP_0000018,JP
2010,347.7921212,JP_0000018,JP
2011,289.8688705,JP_0000018,JP
2012,291.5898087,JP_0000018,JP
1968,50.27729508,JP_0000167,JP
1969,58.18931507,JP_0000167,JP
1970,57.70284932,JP_0000167,JP
1971,70.66221918,JP_0000167,JP
1972,71.16579235,JP_0000167,JP
1973,80.94865753,JP_0000167,JP
1974,81.7880663,JP_0000167,JP
1975,99.98739726,JP_0000167,JP
1976,52.34622951,JP_0000167,JP
1977,58.62632877,JP_0000167,JP
1978,57.54087671,JP_0000167,JP
1979,64.24564384,JP_0000167,JP
1980,54.57622951,JP_0000167,JP
1981,74.99510989,JP_0000167,JP
1982,57.72978082,JP_0000167,JP
1983,59.75643836,JP_0000167,JP
1984,42.33226776,JP_0000167,JP
1985,44.46726027,JP_0000167,JP
1986,52.75178082,JP_0000167,JP
1987,47.17043836,JP_0000167,JP
1988,59.48879781,JP_0000167,JP
1989,69.78553425,JP_0000167,JP
1990,81.1729589,JP_0000167,JP
1991,55.11509589,JP_0000167,JP
1992,66.30434426,JP_0000167,JP
1993,67.244,JP_0000167,JP
1994,76.36419178,JP_0000167,JP
1995,78.45854795,JP_0000167,JP
1996,62.21631148,JP_0000167,JP
1997,67.68430137,JP_0000167,JP
1998,84.82367123,JP_0000167,JP
1999,63.95180822,JP_0000167,JP
2000,87.60519126,JP_0000167,JP
2001,86.84060274,JP_0000167,JP
2002,69.26391781,JP_0000167,JP
2003,71.07641096,JP_0000167,JP
2004,65.01808743,JP_0000167,JP
