ID,year,Q,Ql,Qu
JP_0001023,1686,55.6443113056952,37.7261263846722,82.0728147150327
JP_0001023,1687,50.1742488953779,34.0174945230977,74.0047227906802
JP_0001023,1688,49.1823532901562,33.3450020780494,72.5417221296282
JP_0001023,1689,56.8167506109267,38.5210251329832,83.8021090778338
JP_0001023,1690,56.2745000683702,38.1533862491401,83.0023143231847
JP_0001023,1691,63.5938620924922,43.1158194304981,93.7980386145288
JP_0001023,1692,62.0153978148934,42.0456409803915,91.469875983888
JP_0001023,1693,61.4725300190489,41.6775836067691,90.6691708088642
JP_0001023,1694,64.2985365936547,43.5935796663085,94.8374012809223
JP_0001023,1695,75.1631309868211,50.9596347324415,110.86218120291
JP_0001023,1696,62.13121220679,42.1241616464458,91.6406969160628
JP_0001023,1697,48.8878593976774,33.1453390119341,72.1073571046153
JP_0001023,1698,54.7893655644608,37.1464841835378,80.8118088410225
JP_0001023,1699,53.4872504023652,36.2636668744558,78.8912485190662
JP_0001023,1700,55.1049087692947,37.3604184123215,81.2772206392321
JP_0001023,1701,58.7365212776666,39.8226049190126,86.6336830254581
JP_0001023,1702,65.8691690616711,44.6584482503895,97.1540123505562
JP_0001023,1703,82.4859662934475,55.9244227546028,121.663028427124
JP_0001023,1704,56.2709138313575,38.150954826635,82.9970247875795
JP_0001023,1705,75.2838632282649,51.0414896371484,111.040255738287
JP_0001023,1706,63.8783054786568,43.3086683827796,94.2175796023101
JP_0001023,1707,73.0217256429064,49.50778948987,107.703706241195
JP_0001023,1708,56.6275780131327,38.3927685481603,83.5230881464288
JP_0001023,1709,58.0895265812066,39.3839508478934,85.6793954334624
JP_0001023,1710,45.6669195474891,30.9615832781617,67.3566181102825
JP_0001023,1711,56.4178427983041,38.2505707738276,83.2137382951694
JP_0001023,1712,59.124712858457,40.0857938110075,87.2062478561938
JP_0001023,1713,50.2124030978275,34.0433625809449,74.060998494607
JP_0001023,1714,61.8954715648636,41.9643325274823,91.2929902489907
JP_0001023,1715,51.1925142219208,34.7078652995683,75.5066175848663
JP_0001023,1716,58.5836616314627,39.7189680476687,86.4082220371574
JP_0001023,1717,66.2244403403281,44.8993176015406,97.6780212409996
JP_0001023,1718,58.7454041887313,39.8286274183054,86.6467849130875
JP_0001023,1719,61.4205746653146,41.6423585461053,90.5925390378811
JP_0001023,1720,67.9539836264675,46.0719256735895,100.229018500812
JP_0001023,1721,61.0263759329914,41.3750968827413,90.011113933325
JP_0001023,1722,68.6176587784097,46.5218888786867,101.207909001892
JP_0001023,1723,64.2467229569828,43.5584506879876,94.7609785361258
JP_0001023,1724,44.370224175349,30.0824405168643,65.4440517306783
JP_0001023,1725,58.7123893249395,39.8062437658752,86.5980894986732
JP_0001023,1726,67.494860130349,45.7606458565821,99.5518323384877
JP_0001023,1727,67.8430945353186,45.9967442980058,100.065462162019
JP_0001023,1728,62.1347962460372,42.1265915788941,91.6459832100642
JP_0001023,1729,74.7103660857909,50.6526659610073,110.19437367758
JP_0001023,1730,51.2991101525932,34.7801359676434,75.6638417082704
JP_0001023,1731,63.2926380401483,42.9115934026766,93.3537469114666
JP_0001023,1732,54.3572444109522,36.8535116070385,80.1744498993057
JP_0001023,1733,60.9827882343901,41.345544984485,89.9468240710334
JP_0001023,1734,67.4004706906768,45.6966510321896,99.41261223114
JP_0001023,1735,68.730467970635,46.5983720580698,101.374297401971
JP_0001023,1736,64.7345483940042,43.8891900512556,95.4804987488208
JP_0001023,1737,59.126292864706,40.0868650348942,87.2085782931616
JP_0001023,1738,59.0497793451516,40.0349898541056,87.0957243505711
JP_0001023,1739,51.4299219428883,34.8688246766502,75.8567831172932
JP_0001023,1740,66.8030299578336,45.2915939101637,98.531414469513
JP_0001023,1741,62.2979884456035,42.2372337883377,91.8866842420953
JP_0001023,1742,54.9853835066009,37.2793818236616,81.1009263423193
JP_0001023,1743,60.6891865259391,41.1464868076495,89.5137749766644
JP_0001023,1744,62.8798484592311,42.6317273834099,92.7449011553426
JP_0001023,1745,61.8273374911723,41.9181385030642,91.1924956058792
JP_0001023,1746,62.7560324481224,42.5477817225881,92.5622782007219
JP_0001023,1747,61.6955335629366,41.828777137312,90.9980908387616
JP_0001023,1748,70.1377110754212,47.5524647582825,103.449916632186
JP_0001023,1749,62.9288080435871,42.6649213510198,92.8171143034809
JP_0001023,1750,89.3898372932915,60.6051583728892,131.845922456917
JP_0001023,1751,62.4564159293195,42.3446455818028,92.1203575361246
JP_0001023,1752,69.0358769586551,46.8054354183792,101.82476169379
JP_0001023,1753,63.4075221254549,42.9894833328449,93.5231956839615
JP_0001023,1754,52.6662637723851,35.7070485133694,77.6803307812995
JP_0001023,1755,69.5281903963696,47.1392175883131,102.550901502284
JP_0001023,1756,57.4372862111315,38.9417402776259,84.7173707127547
JP_0001023,1757,73.8816004758478,50.0907735516967,108.97198230008
JP_0001023,1758,50.4836977303134,34.2272968475838,74.4611456719684
JP_0001023,1759,66.3850987094325,45.008241906566,97.9149849889646
JP_0001023,1760,65.8850327982654,44.6692036594806,97.1774106366278
JP_0001023,1761,53.8753420403633,36.5267880065247,79.4636659387532
JP_0001023,1762,58.9389330771365,39.9598375120552,86.932231173943
JP_0001023,1763,45.1346953593957,30.6007421335084,66.5716117699887
JP_0001023,1764,51.9014766708158,35.1885327087139,76.5523047780893
JP_0001023,1765,63.3027114136131,42.9184230201439,93.3686046766995
JP_0001023,1766,53.3350801578849,36.1604974086013,78.6668043667832
JP_0001023,1767,43.6810703520601,29.615203100751,64.4275813544306
JP_0001023,1768,51.2016445510865,34.714055545147,75.5200844028811
JP_0001023,1769,69.2838579139028,46.9735633121234,102.190522263296
JP_0001023,1770,52.1701799564505,35.3707100755635,76.9486298373404
JP_0001023,1771,47.6144018594654,32.2819512027443,70.2290654674532
JP_0001023,1772,66.2023996049823,44.8843742668537,97.6455121642266
JP_0001023,1773,61.3354471188871,41.5846431660425,90.4669797995484
JP_0001023,1774,61.464335062455,41.6720275317468,90.6570836226209
JP_0001023,1775,54.9564945865754,37.2597955079642,81.0583165062924
JP_0001023,1776,61.4637644317846,41.6716406515018,90.6562419684754
JP_0001023,1777,62.5363758312128,42.398857365429,92.2382947350714
JP_0001023,1778,69.3239122379911,47.0007196279685,102.249600559752
JP_0001023,1779,57.6871475271316,39.1111430317416,85.085904728386
JP_0001023,1780,55.6059440912583,37.7001139074413,82.0162248281652
JP_0001023,1781,49.3829967658061,33.4810357703175,72.8376620813392
JP_0001023,1782,50.4463820577105,34.2019973021728,74.406106761222
JP_0001023,1783,54.2000094100651,36.7469083015726,79.9425354629201
